site,cage,start.length,start.wetmass.nolabel,start.wetmass.label,end.length,dead,end.wetmass.label,notes,replacement,,
LOM,A07,25.99,3.19,3.25,26.54,0,3.51,,0,,
LOM,A09,23.87,2.52,2.51,27.58,0,3.45,,1,,
LOM,A09,22.94,1.88,1.88,22.96,0,1.93,,0,,
LOM,A09,24.51,2.8,2.96,23.89,0,2.67,,0,,
LOM,A09,25.28,3.18,3.16,,1,,,1,,
LOM,A09,26,3.25,3.36,26.11,0,3.12,,1,,
LOM,A09,,,,27.32,0,3.37,,,,
LOM,A13,22.66,1.96,1.95,26.77,0,3.25,,0,,
LOM,A13,22.38,2.06,2.12,25.79,0,3.38,,0,,
LOM,A13,25.5,2.63,2.65,26.24,0,2.95,,0,,
LOM,A13,25.94,2.93,3,28.5,0,4.07,,0,,
LOM,A13,25.34,2.63,2.72,26.61,0,3.46,,0,,
LOM,B05,23.85,2.27,2.32,23.93,0,2.64,,0,,
LOM,B05,23.66,2.49,2.49,25.89,0,3.4,,0,,
LOM,B05,25.67,2.63,2.67,25.21,0,2.47,,0,,
LOM,B05,23.24,2.17,2.2,24.73,0,2.87,,0,,
LOM,B05,25.35,2.9,2.87,25.26,0,2.96,,0,,
LOM,B11,23.1,2.11,2.08,25.12,0,2.79,,0,,
LOM,B11,22.03,2.16,2.21,23.13,0,2.29,,1,,
LOM,B11,24.07,2.45,2.49,24.33,0,2.71,,0,,
LOM,B11,25.56,2.92,2.97,26.41,0,3.45,,0,,
LOM,B11,25.13,3.06,3.05,25.71,0,3.25,,0,,
LOM,B15,22.1,1.71,1.74,27.15,0,3.47,,0,,
LOM,B15,23.75,2.1,2.17,26.3,0,3.04,,0,,
LOM,B15,23.56,2.08,2.11,24.7,0,2.52,,0,,
LOM,B15,24,2.5,2.61,24.57,0,2.66,,0,,
LOM,B15,25.28,2.59,2.69,26.57,0,2.95,,0,,
LOM,C15,23.09,2.24,2.17,22.81,0,2.29,,0,,
LOM,C15,23.74,2.28,2.27,,,,,0,,
LOM,C15,24,2.42,2.47,26.22,0,3.23,no operculum,0,,
LOM,C15,24.79,2.73,2.69,24.88,1,,,0,,
LOM,C15,25.57,2.75,2.83,25.43,0,3.04,,0,,
LOM,C15,,,,25.34,0,3.21,,,,
SOB,A05,20.74,1.48,1.44,26.47,0,3.07,,0,,
SOB,A05,23.66,1.86,1.77,31.63,1,,,0,,
SOB,A05,25.84,2.34,2.23,30,0,3.87,,0,,
SOB,A05,23.85,2,1.9,25.49,0,2.6,,0,,
SOB,A05,22.12,1.38,1.39,28.75,0,3.79,,0,,
SOB,A12,26.23,2.96,2.87,28.4,0,3.17,very small body,1,,
SOB,A12,24.6,2.52,2.55,25.63,0,2.55,,1,,
SOB,A12,20.76,1.41,1.42,21.19,0,1.62,,1,,
SOB,A12,24.52,2.06,2.13,27.28,0,2.87,very small body,1,,
SOB,A12,26.75,3.07,3.08,26.95,0,2.76,,1,,
SOB,A15,21.76,1.65,1.61,24.16,0,2.38,,0,,
SOB,A15,25.42,2.24,2.21,26.4,0,2.78,,1,,
SOB,A15,26.18,2.38,2.39,23.4,0,2.01,,1,,
SOB,A15,26.75,3.36,3.26,25.42,0,2.61,,1,,
SOB,A15,26.16,2.41,2.45,,,,,0,,
SOB,A15,,,,27.28,1,2.1,shell only,,,
SOB,B04,23.32,1.68,1.75,23.41,0,1.92,,0,,
SOB,B04,21.01,1.62,1.61,,,,,1,,
SOB,B04,21.4,1.43,1.43,26.05,1,,,1,,
SOB,B04,24.39,2.57,2.51,26.82,0,3,,1,,
SOB,B04,25.48,2.82,2.78,,1,,,1,,
SOB,B04,,,,25.42,0,2.46,,,,
SOB,B04,,,,22.86,1,,,,,
SOB,B07,22.72,1.74,1.77,28.35,0,3.41,,1,,
SOB,B07,24.37,1.88,1.84,25.69,0,2.5,,0,,
SOB,B07,24.94,2.28,2.19,25.97,0,2.51,,0,,
SOB,B07,22.04,1.61,1.58,24.82,0,2.41,,0,,
SOB,B07,24.69,2.21,2.26,26.96,0,2.82,,0,,
SOB,B07,,,,24.83,0,2.22,,,,
SOB,B10,20.55,1.4,1.38,27.12,0,3.18,,1,,
SOB,B10,24.55,2.01,1.99,28.24,0,3.56,,1,,
SOB,B10,20.86,1.44,1.44,19.91,0,1.34,maybe native,1,,
SOB,B10,23.97,1.89,1.98,24.18,0,2.12,,0,,
SOB,B10,25.48,2.51,2.55,26.62,0,3.14,,0,,
SOB,B14,24.5,2.2,2.31,26.97,0,3.52,,1,,
SOB,B14,26.04,2.42,2.41,25.57,0,2.53,,1,,
SOB,B14,24.93,2.2,2.23,26.13,0,2.97,,0,,
SOB,B14,26.6,2.94,2.95,26.64,0,3.09,,1,,
SOB,B14,23.91,2.33,2.3,24.67,0,2.3,,1,,
SOB,B14,,,,19.83,1,,,,,
SOB,C16,23.53,2.51,2.45,23.44,0,2.31,,0,,
SOB,C16,25.48,2.43,2.3,25.02,1,,,0,,
SOB,C16,26.59,2.95,3.04,24.63,1,,,1,,
SOB,C16,25.77,2.8,2.87,25.03,0,2.48,,1,,
SOB,C16,26.76,2.62,2.6,28.43,0,3.61,"I changed the end values to the values from the snail numbered 56 that was found at the end, but it totally changed color which is weird. I suppose it is possible that I lost it (I did record losing it), and then when I found it later it had no more markings so I recolored it. But then why was it still 56? I would have been able to look up that SOB 56 in cage c14 was pink. But I have it recorded here as teal! and in my google sheet I say 56 was pink in B10!",1,,
SOB,C16,,,,24.76,0,2.46,"must have added it thinking 56 was gone, but then I found 56 at the end after all!",,,
