cage,trtmnt,Acanthinucella spirata,Adula diegensis,algae,Amage auricula,amphipod,annelid,Anthopleura,Assiminea californica,Chaetopterus,Chlorostoma funebralis,Cirolana,clam,Cyanoplax dentiens,Cyanoplax hartwegii,Epitonium tinctum,Eulithidium pulloides,Halosydna brevisetosa,Harfordia,Idotea,Lacuna,Limonia marmorata,Littorina,Lottia,Modiolus,Mopalia muscosa,Neolepton,Nereis,Nuttalina californica,Pachygrapsus crassipes,Pagurus,Petrolisthes cinctipes,Phascolosoma agassizii,Pseudoalloioplana,Pugettia,Pycnogonida,Septifer bifurcatus,Serpula,unknown Cerithioidea,unknown Littorinidae,unknown snail 1
B08,HOP,0.2698,0,1.4681,0,0.0364,0.0586,0.3932,0.0064,0,21.881,0.0524,0.9711,0,0,0,0,0,0.0261,0,0.122,0,1.9434,4.3676,0,0,0,2.1729,0,2.2445,0,0,0.0748,0,0,0,0.7755,0,0,0.0055,0
B09,CC,0,0,0,0,0.006,0,2.8836,0,0.1559,26.3332,0,0.0019,0.0011,0,0.0321,0.0047,0,0,0,0.0294,0,1.1476,1.0948,0,0,0,0,0,7.0113,0,0,0,0,0,0,3.8102,0,0,0.022,0
B10,SOB,0.0623,0,0,0,0.0141,0.0042,0.8123,0,0,11.9957,0,0,0,0,0,0,0,0,0.0331,0.0018,0,1.8449,1.1716,0,0,0,1.0674,0,2.4948,0,0,0.0442,0,0,0,0,0,0,0,0
B11,LOM,0,0,2.3607,0,0.0133,0.011,1.2554,0.0059,0,12.7097,0,0,0,0,0,0.0063,0,0,0,0.024,0,1.2547,1.7688,0,0,0,0.3972,0,3.1949,0,0,0,0,0,0,0,0,0,0,0
B12,HOP,0.7969,0,0,0,0.0766,0.0827,2.3921,0,0,9.058,0.017,0,0,0,0,0.0094,0,0,0,0.0238,0,1.8603,1.1677,0,0,0,1.7787,0,1.2872,0,0,0,0,0,0,0,0.011,0,0,0
B13,HOP,0,0,0.1234,0,0.0177,0.0186,0.7,0.0011,0,16.551,0,0,0,0,0,0.0073,0,0,0,0.009,0,0.6947,0.8981,0,0,0,0,0,2.3703,0,0,0,0,0,0,0,0.0134,0,0,0
B14,SOB,0.0586,0,0.8336,0,0.004,0,2.308,0.0065,0,29.1492,0,0.0011,0,0,0,0,0.0759,0,0,0.0424,0,1.0168,0.9988,0,0,0,0.0387,0,0.8089,0,0,0,0,0,0,0,0,0,0,0
B15,LOM,0,0,0.497,0,3.00E-04,0.0047,6.0208,0,0,14.8194,0,0,0,0.3061,0,0,0,0,0,0,0,0.6658,1.32,0,0,0,1.5173,0,2.2335,0.3252,0,0,0,0,0,0,0,0,0,0
B16,CC,0,0,4.8147,0,0.0013,0.1161,0.4181,3.00E-04,0,8.846,0.0776,0.0132,0,0,0,0,0,0,0,0.0212,0.0056,0.8839,0.451,0.1249,0,0,0,0,3.5034,0,0,0,0,0,0,0.3538,0.0039,0,0,0
C13,CC,0,0,0,0,0.0193,0,0.2292,0.0011,0,8.7581,0.0093,0,0,0,0,0,0,0,0,0.0069,0,1.6579,0.9152,0,0,0,0.0498,0,2.5444,0,0.0048,0,0,0,0,0,0,0,0,0
C14,HOP,0,0,0,0,0.0017,0.0404,0.2331,0.015,0,11.1514,0.0286,0.0565,0,0,0,0,0,0,0,0.2325,0,1.2855,0.2968,0,0,0,1.5872,0,1.0378,0,0,0,0,0,0,0.1631,0,0,0,0
C15,LOM,0,0,0,0,0.0096,0.0825,1.1607,0,0,13.9193,0.0589,0,0,0,0,0,0,0,0,0,0,0.9205,0.7681,0.1001,0,0,0.3752,0,3.4567,0,0.3534,0,0.0095,0,0,0,0,0,0,0
C16,SOB,0,0,2.8261,0,0,0.0324,0.3358,0,0,10.0375,0.104,0.0107,0,0,0,0,0,0,0,0.0152,0.0063,0.6902,0.5982,0,0,0,0.3474,0,0.5871,0,0,0,0,0,0.0053,0,0,0,0,0
